twhandle,name,fcnt,profs
@06melihgokcek,Melih Gökçek,67,Politician
@140darbe,Tuna Kiremitçi,29,"Author, Columnist"
@1VolkanDEMIREL,Volkan Demirel,15,Athlete
@8Selcukinan,Selçuk İnan,16,Athlete
@aakadiroglu,Abdullah Akadiroğlu,45,Journalist
@AAUGUR,Agah Uğur,10,Executive
@ABabuscu,Aziz Babuşcu,12,Politician
@abagis,Bağış Erten,0,Commentator
@abdulhamitgul,Abdulhamit Gül,0,Politician
@abdulkadiraksu1,Abdülkadir Aksu,68,"AKP, MP"
@abdulkdir_selvi,Abdulkadir Selvi,42,Journalist
@aberatconkar,Ahmet Berat Çonkar,2,"MP, AKP"
@acaliskan40,Abdullah Çalışkan,22,"MP, AKP"
@acikcenk,Levent Gültekin,0,Journalist
@ackilic76,Akif Çağatay Kılıç,2,"AKP, MP"
@acunilicali,Acun Ilıcalı,317,"TV host,  Producer"
@ademyavuza,Adem Yavuz Arslan,31,Journalist
@aDilipak,Abdurrahman Dilipak,55,"Journalist, Author"
@AdilSerdars,Adil Serdar Saçan,12,"Emeritus bureaucrat, Legist"
@AdnanBoynukara,Adnan Boynukara,20,Columnist
@adnandalgakiran,Adnan Dalgakıran,13,Businessman
@adnankeskinCHP,Adnan Keskin,10,"MP, CHP"
@afifd,Afif Demirkıran,10,"MP, AKP"
@ahamitbilici,Abdülhamit Bilici,49,Journalist
@AhmetBOgutken,Ahmet Baha Öğütken,10,"MP, AKP"
@ahmetcakar1,Ahmet Çakar,61,Commentator
@ahmeteozguc,Ahmet Eyüp Özgüç,17,Politician
@AhmetGunestekin,Ahmet Güneştekin,2,Artist
@ahmethc,Ahmet Hakan,124,Journalist
@AhmetMisbah,A. Misbah Demircan,24,Politician
@ahmetrizakorkut,Ahmet Rıza Korkut,18,"Artist, Author"
@AhmetTasgetiren,Ahmet Taşgetiren,23,"Journalist, Author"
@ahmettulgarr,Ahmet Tulgar,18,"Journalist, Author"
@ahmetturanalkan,Ahmet Turan Alkan,21,Columnist
@ahmetyesiltepe,Ahmet Yeşiltepe,9,TV host
@Ahmet_Davutoglu,Ahmet Davutoğlu,71,"MP, AKP"
@AHMTKURAL,Ahmet Kural,150,TV Series actor
@ahuozyurt,Ahu Özyurt,59,Journalist
@ahusungur1,Ahu Sungur,6,TV Series actor
@akapismak,Aşkım Kapışmak,0,Author
@AkarRidvanakar,Rıdvan Akar,6,Journalist
@Akasyaa,Akasya Asıltürkmen,15,Artist
@Akbag_Demet,Demet Akbağ,116,Artist
@akelali,Ali Akel,8,Journalist
@Akelebru,Ebru Akel,59,"TV host, TV Series actor"
@Akif_Hamzacebi,Akif Hamzaçebi,0,"MP, CHP"
@akin_birdal,Akın Birdal,3,Politician
@akkayasarp,Sarp Akkaya,33,TV Series actor
@aksezen,Açıl Sezen,22,Journalist
@aktaserdogan,Erdogan Aktas,2,"Journalist, TV host"
@AkyolMustafa,Mustafa Akyol,23,Author
@akyuzfikri,Fikri Akyüz,8,Lawyer
@AlAlatli,Alev Alatlı,12,Author
@AlatonLeyla,Leyla Alaton,21,Businesswoman
@AlenMarkaryan,Alen Markaryan,20,Cheerleader
@Alex10combr,Alex de Souza,84,Athlete
@ALIATIFBIR,Ali Atıf Bir,23,Academician
@alibabaoglan,Ali Rıza Babaoğlan,1,Consultant
@alicimen,Ali Çimen,1,Author
@alidurantopuz,Ali Topuz,10,"Lawyer, Columnist"
@alifuatyilmazer,Ali Fuat Yılmazer,0,Emeritus bureaucrat
@alihakanxyz,Ali Hakan,12,Columnist
@aliHaslan,Ali H. Aslan,0,Journalist
@Alimhamarat,Ali Murat Hamarat,9,"Journalist, Commentator"
@aliozgunduz,Ali Özgündüz,14,"Legist, CHP, MP"
@alipoyrazoglu,Ali Poyrazoğlu,28,Theater Actor
@alirizaozturk33,Ali Rıza Öztürk,10,"MP, CHP, Legist"
@AliSahin501,Ali Şahin,11,"MP, AKP"
@aliyucelen,Ali Yücelen,7,Businessman
@alkayaorhan,Orhan Alkaya,2,Artist
@ALLSTARhilmicem,Hilmi Cem İntepe,10,Celebrity
@alperkul,Alper Kul,11,TV Series actor
@alperseri,Alper Sarı,3,Twitter Phenomenon
@AlperTasdelen06,Alper Taşdelen,0,Politician
@AlperTurgut01,Alper Turgut,41,Columnist
@alper_tas,Alper Taş,0,Politician
@alphanmanas,Alphan Manas,10,Businessman
@alpkirsan,Alp Kırşan,125,TV Series actor
@AltanSan,Sanem Altan,22,Columnist
@AltanTanrikulu,Altan Tanrıkulu,13,"Journalist, Columnist, Commentator"
@altinsaray,Cem Altınsaray,0,"Author, Commentator"
@amberinzaman,Amberin Zaman,39,Journalist
@anjelikaakbar,Anjelika Akbar,30,Artist
@ApoOguz,Abdullah Oğuz,47,"Producer, Director"
@arasbulent,Bulent Aras,4,Academician
@ardakutsal,Arda Kutsal,14,Businessman
@Armagan_caglaya,Armağan Çağlayan,100,Celebrity
@armanayse,Ayse Arman,118,"Journalist, Columnist"
@arslandidem,Didem Arslan,0,"TV host, TV producer"
@ArzuErdogral,Arzu Erdoğral,31,Journalist
@ArzuKaprol,Arzu Kaprol,27,Stylist
@asaydam,Ali Saydam,9,Businessman
@aselcukilkan,A. Selçuk İlkan,0,Musician
@asim_yildirim,Asım Yıldırım,45,Journalist
@Askdoktoru,Mehmet Coşkundeniz,5,Journalist
@askonuk,Adil Sani Konukoglu,18,Businessman
@asliaydintasbas,Aslı Aydıntaşbaş,74,Journalist
@aslioymen,Aslı Öymen,19,"Journalist, TV host"
@atademirer,Ata Demirer,165,Artist
@atakankurt2,Atakan Kurt,14,TV host
@atalaydemirci,Atalay Demirci,25,Celebrity
@Atalay_Besir,Beşir Atalay,1,"MP, AKP"
@atigoll,Atilla Türker,4,Columnist
@atillakart,Atilla Kart,13,"CHP, MP"
@AtillaSertell,Atilla Sertel,13,"Journalist, Author"
@AtillaTasNet,Atilla Taş,134,Musician
@AtillaYesilada1,Atilla Yesilada,5,Consultant
@atilla_yayla,atilla yayla,8,"Academician, Columnist"
@Atiye,Atiye,96,Musician
@AttilaKoksal,Attila Koksal,5,Businessman
@attilao,Attila Özdemiroğlu,11,Musician
@ATuncayOzkan,Tuncay Özkan,4,"Politician, Journalist"
@AvarBanu,Banu Avar,75,"Author, Producer"
@avhamzadag,Hamza Dağ,2,"AKP, MP"
@avomerturanli,Ömer Turanlı,0,Lawyer
@avsarhellin,Helin Avşar,104,Celebrity
@av_idrissahin,İdris Şahin,4,"MP, AKP"
@Av_SelamiOzturk,Selami Öztürk,10,"Legist, Politician"
@aycasenbaskan,Ayça Şen,35,"Columnist, Radio DJ, Author"
@aydincingi,Aydın Cıngı,22,"Politician, Social entrepreneur"
@aydinsengul35,Aydın Şengul,1,"MP, AKP"
@AYDIN_KUSUM,Aydın Uğurlular,0,Musician
@ayhansicimoglu,Ayhan Sicimoglu,11,"TV host, Producer"
@aykanerdemir,Aykan Erdemir,8,"MP, CHP"
@aykurtnuh,Aykurt Nuhoğlu,0,Politician
@aykuterdogdu,Aykut Erdoğdu,23,"MP, CHP"
@aykut_isiklar,Aykut Işıklar,24,Columnist
@Ayla_Akat,Ayla Akat,18,"MP, HDP"
@AylinAsLIM,Aylin Aslım,65,Musician
@AylinNazliaka,Aylin Nazlıaka,33,"MP, CHP"
@aylin_kotil,Aylin Kotil,18,Politician
@AYMBASKANLIGI,Anayasa Mahkemesi Başkanlığı (AYM),3,Others
@aysebohurler,Ayşe Böhürler,16,Politician
@AysegulAldinc,Ayşegül Aldinç,76,"Artist, TV Series actor"
@AysegulDinckok,Ayşegül Dinçkök,0,Businesswoman
@aysekarabat,Ayşe Karabat,5,"Journalist, Author"
@aysekesir,Ayşe Keşir,11,Politician
@AysenurArslan50,Ayşenur Arslan,5,Journalist
