twhandle,name,fcnt,profs
@06melihgokcek,Melih Gökçek,67,Politikacı
@140darbe,Tuna Kiremitçi,29,"Yazar, Köşe Yazarı"
@1VolkanDEMIREL,Volkan Demirel,15,Sporcu
@8Selcukinan,Selçuk İnan,16,Sporcu
@aakadiroglu,Abdullah Akadiroğlu,45,Gazeteci
@AAUGUR,Agah Uğur,10,Yönetici
@ABabuscu,Aziz Babuşcu,12,Politikacı
@abagis,Bağış Erten,0,Yorumcu
@abdulhamitgul,Abdulhamit Gül,0,Politikacı
@abdulkadiraksu1,Abdülkadir Aksu,68,Milletvekili
@abdulkdir_selvi,Abdulkadir Selvi,42,Gazeteci
@aberatconkar,Ahmet Berat Çonkar,2,"Milletvekili, AK Parti"
@acaliskan40,Abdullah Çalışkan,22,"Milletvekili, AK Parti"
@acikcenk,Levent Gültekin,0,Gazeteci
@ackilic76,Akif Çağatay Kılıç,2,Milletvekili
@acunilicali,Acun Ilıcalı,317,"Sunucu,  Yapımcı"
@ademyavuza,Adem Yavuz Arslan,31,Gazeteci
@aDilipak,Abdurrahman Dilipak,55,"Gazeteci, Yazar"
@AdilSerdars,Adil Serdar Saçan,12,"Emekli bürokrat, Hukukçu"
@AdnanBoynukara,Adnan Boynukara,20,Köşe yazarı
@adnandalgakiran,Adnan Dalgakıran,13,İş adamı
@adnankeskinCHP,Adnan Keskin,10,"Milletvekili, CHP"
@afifd,Afif Demirkıran,10,"Milletvekili, AK Parti"
@ahamitbilici,Abdülhamit Bilici,49,Gazeteci
@AhmetBOgutken,Ahmet Baha Öğütken,10,"Milletvekili, AK Parti"
@ahmetcakar1,Ahmet Çakar,61,Yorumcu
@ahmeteozguc,Ahmet Eyüp Özgüç,17,Politikacı
@AhmetGunestekin,Ahmet Güneştekin,2,Sanatçı
@ahmethc,Ahmet Hakan,124,Gazeteci
@AhmetMisbah,A. Misbah Demircan,24,Politikacı
@ahmetrizakorkut,Ahmet Rıza Korkut,18,"Sanatçı, Yazar"
@AhmetTasgetiren,Ahmet Taşgetiren,23,"Gazeteci, Yazar"
@ahmettulgarr,Ahmet Tulgar,18,"Gazeteci, Yazar"
@ahmetturanalkan,Ahmet Turan Alkan,21,Köşe Yazarı
@ahmetyesiltepe,Ahmet Yeşiltepe,9,Sunucu
@Ahmet_Davutoglu,Ahmet Davutoğlu,71,"Milletvekili, AK Parti"
@AHMTKURAL,Ahmet Kural,150,Dizi oyuncusu
@ahuozyurt,Ahu Özyurt,59,Gazeteci
@ahusungur1,Ahu Sungur,6,Dizi oyuncusu
@akapismak,Aşkım Kapışmak,0,Yazar
@AkarRidvanakar,Rıdvan Akar,6,Gazeteci
@Akasyaa,Akasya Asıltürkmen,15,Sanatçı
@Akbag_Demet,Demet Akbağ,116,Sanatçı
@akelali,Ali Akel,8,Gazeteci
@Akelebru,Ebru Akel,59,"Sunucu, Dizi oyuncusu"
@Akif_Hamzacebi,Akif Hamzaçebi,0,"Milletvekili, CHP"
@akin_birdal,Akın Birdal,3,Politikacı
@akkayasarp,Sarp Akkaya,33,Dizi oyuncusu
@aksezen,Açıl Sezen,22,Gazeteci
@aktaserdogan,Erdogan Aktas,2,"Gazeteci, Sunucu"
@AkyolMustafa,Mustafa Akyol,23,Yazar
@akyuzfikri,Fikri Akyüz,8,Avukat
@AlAlatli,Alev Alatlı,12,Yazar
@AlatonLeyla,Leyla Alaton,21,İş kadını
@AlenMarkaryan,Alen Markaryan,20,Taraftar lideri
@Alex10combr,Alex de Souza,84,Sporcu
@ALIATIFBIR,Ali Atıf Bir,23,Akademisyen
