id,screen_name,name,location,description,created_at,friends,followers,statuses,favorites
2964174789,SenThomTillis,Senator Thom Tillis,"Washington, D.C. ",Official Twitter account of North Carolina Senator Thom Tillis.,Tue Jan 06 14:22:18 +0000 2015,514,1766,56,0
2962923040,SenSasse,Senator Ben Sasse,,"The press office account of U.S. Sen. Sasse. 

His (less political/hopefully more interesting) personal account is at @BenSasse.",Mon Jan 05 22:39:56 +0000 2015,1,1329,16,0
2955485182,SenatorRounds,Senator Mike Rounds,"Pierre, South Dakota",U.S. Senator for South Dakota,Thu Jan 01 20:23:49 +0000 2015,155,1180,57,4
2891210047,SenDanSullivan,SenDanSullivan,,Official twitter account for U.S. Senator Dan Sullivan.  Proudly serving the state of Alaska.,Wed Nov 05 21:25:42 +0000 2014,134,628,72,0
2863210809,sendavidperdue,David Perdue,Georgia,Official Twitter account for U.S. Senator David Perdue of Georgia.,Wed Nov 05 20:58:02 +0000 2014,476,1480,119,0
2856787757,SenJoniErnst,Joni Ernst,Iowa ,Official Account of Senator Joni Ernst from Iowa.,Sun Nov 02 13:32:54 +0000 2014,42,4318,44,0
1262099252,SenBrianSchatz,Senator Brian Schatz,,"Tweets from the Office of Senator Brian Schatz, representing the great state of Hawaii.",Tue Mar 12 14:23:20 +0000 2013,1339,3990,208,0
1099199839,MartinHeinrich,Martin Heinrich,,United States Senator from New Mexico,Thu Jan 17 20:24:19 +0000 2013,25,6312,1155,2
1096059529,SenatorRisch,Senator Jim Risch,"Boise & Washington, D.C.",United States Senator Jim Risch (R-ID),Wed Jan 16 18:58:23 +0000 2013,43,8023,339,41
1074518754,SenatorBaldwin,Sen. Tammy Baldwin,"Washington, D.C.","Official Twitter account of United States Senator Tammy Baldwin's office, proudly working for the State of Wisconsin. Tweets from Tammy are signed -TB.",Wed Jan 09 18:29:44 +0000 2013,1038,12840,3219,1
1074480192,SenTedCruz,Senator Ted Cruz,"Houston, Texas",Representing the State of Texas in the United States Senate.,Wed Jan 09 18:11:37 +0000 2013,7698,401658,3166,154
1071402577,SenatorFischer,Senator Deb Fischer,,U.S. Senator and Cherry County rancher working to bring some Nebraska common sense to Washington,Tue Jan 08 16:49:07 +0000 2013,132,9488,1230,21
1068481578,SenAngusKing,Senator Angus King,,News from the office of Independent U.S. Senator Angus King of Maine. Operated by the Press Team. Following/retweeting does not equal an endorsement.,Mon Jan 07 14:52:27 +0000 2013,449,10003,1191,56
1061029050,SenatorHeitkamp,Sen. Heidi Heitkamp,,"Official Twitter account for Heidi Heitkamp, U.S. Senator for #NorthDakota. Learn more on Facebook: https://t.co/sdBAQYB6b4.
Instagram: http://t.co/o02Q1Pt8AC",Fri Jan 04 17:57:48 +0000 2013,422,11231,3331,134
970207298,SenWarren,Elizabeth Warren,,Official twitter account of Senator Elizabeth Warren of Massachusetts.,Sun Nov 25 15:14:27 +0000 2012,238,154120,388,2
968650362,SenTomCotton,Tom Cotton,,U.S. Senator proudly serving the state of Arkansas.,Sat Nov 24 19:33:10 +0000 2012,356,10642,1833,0
600463589,MikeCrapo,Senator Mike Crapo,"Idaho & Washington, D.C.",United States Senator for the great state of Idaho.,Tue Jun 05 22:16:35 +0000 2012,436,10579,4029,4
555474658,SenThadCochran,Senator Thad Cochran,,Office of U.S. Senator Thad Cochran of Mississippi.,Mon Apr 16 22:33:23 +0000 2012,488,13806,1011,0
515822213,SenatorTester,Senator Jon Tester,Montana,Third-generation Montana farmer. Proud grandfather. Former school teacher. Montana's senior Senator.,Mon Mar 05 20:13:29 +0000 2012,754,2706,606,10
486694111,SenJackReed,Senator Jack Reed,"Providence, Rhode Island",Official Twitter feed of Rhode Island’s U.S. Senator Jack Reed.,Wed Feb 08 15:24:01 +0000 2012,15,12827,2504,0
476256944,SenFeinstein,Sen Dianne Feinstein,California,United States Senator from California. On Facebook at: http://t.co/siExqwIu,Fri Jan 27 23:06:59 +0000 2012,128,49835,1813,0
435500714,SenCoonsOffice,Office of Sen. Coons,Delaware & Washington,"News releases, blog posts, new videos, transcripts and other resources from the office of U.S. Senator @ChrisCoons of Delaware.",Tue Dec 13 04:02:30 +0000 2011,107,3255,2132,0
382791093,SenJohnHoeven,Senator John Hoeven,North Dakota,U.S. Senator from North Dakota,Fri Sep 30 17:55:30 +0000 2011,409,10726,856,5
339822881,McConnellPress,Sen. McConnell Press,,The Kentucky press office for Senator Mitch McConnell. For more information please visit his website:,Thu Jul 21 18:25:30 +0000 2011,266,48109,6089,4
296361085,SenJohnThune,Senator John Thune,,"U.S. Senator John Thune, South Dakota. Chairman of @Senate_GOPs & @CommerceGOP. Father. Husband. Avid Outdoorsman. Sports Fan.",Tue May 10 16:41:48 +0000 2011,306,32107,1969,0
293131808,PattyMurray,Senator Patty Murray,WA & DC,Official account of U.S. Senator Patty Murray (D-WA) | Tweets come from staff unless signed “-PM” by Senator Murray | RT≠endorsement,Wed May 04 20:23:35 +0000 2011,2171,31494,6497,124
291756142,SenatorEnzi,Mike Enzi,,Mike Enzi is Wyoming’s 20th U.S. Senator. His joy of representing Wyoming is topped by few things. (Being a grandfather and fly-fishing are two).,Mon May 02 15:26:39 +0000 2011,514,10915,1494,0
278124059,SenBlumenthal,Richard Blumenthal,"Connecticut, USA",Connecticut’s U.S. Senator,Wed Apr 06 17:13:53 +0000 2011,801,23197,4422,106
266133081,SenDeanHeller,Dean Heller,Nevada,U.S. Senator Dean Heller,Mon Mar 14 18:31:08 +0000 2011,4934,14921,2752,0
264219447,SenatorWicker,Senator Roger Wicker,"Mississippi & Washington, DC",U.S. Senator for the State of Mississippi. Please visit my website for updates from the Senate.,Fri Mar 11 14:59:01 +0000 2011,282,15023,1733,18
262756641,SenOrrinHatch,Senator Hatch Office,,U.S. Senator from Utah. Tweets are by Sen. Hatch's staff; those signed ogh are from Sen. Hatch himself.,Tue Mar 08 18:04:18 +0000 2011,151,12231,2352,1
250188760,RonWyden,Ron Wyden,"Oregon & Washington, DC",U.S. Senator from Oregon. @SenateFinance Ranking Member. Follow @WydenPress for breaking news and updates from my staff.,Thu Feb 10 16:08:15 +0000 2011,299,33679,1932,9
249787913,SenatorCarper,Senator Tom Carper,Delaware,U.S. Senator for Delaware | Ranking Member of @SenateHSGAC,Wed Feb 09 19:46:42 +0000 2011,493,13919,3399,44
247334603,SenatorDurbin,Senator Dick Durbin,,Serving the people of Illinois. U.S. Senate Democratic Whip. Follows/RTs do not equal an endorsement.,Fri Feb 04 15:50:42 +0000 2011,1605,51982,3679,115
242836537,SenatorLeahy,Sen. Patrick Leahy,"Washington, DC",,Tue Jan 25 18:20:07 +0000 2011,76,26845,4528,25
242555999,SenWhitehouse,Sheldon Whitehouse,Rhode Island,"U.S. Senator from #RhodeIsland, the Ocean State. Follows, RTs ≠ endorsement, but I look forward to listening to you.",Tue Jan 25 01:52:03 +0000 2011,1372,20625,2059,7
236511574,SenGaryPeters,Senator Gary Peters,,U.S. Senator proudly representing the state of Michigan.,Mon Jan 10 19:17:36 +0000 2011,346,7443,1428,0
235217558,SenCoryGardner,Cory Gardner ,Colorado,Proudly serving the state of Colorado in the United States Senate.  This is my official Senate Twitter account. Tweets from Cory are signed -cg.,Fri Jan 07 17:02:56 +0000 2011,646,9412,1767,6
234374703,Sen_JoeManchin,Senator Joe Manchin,,"I proudly serve the people of West Virginia. Please do not hesitate to contact me to share your commonsense ideas, concerns or if you need assistance.",Wed Jan 05 14:13:33 +0000 2011,624,27414,2482,60
233737858,SenRonJohnson,Senator Ron Johnson,"Oshkosh, WI",Tweets from Ron are signed -rj,Tue Jan 04 00:25:27 +0000 2011,106,26218,1335,3
229966028,SenRubioPress,Senator Rubio Press,"Washington, D.C.",The press office for Senator @MarcoRubio. For more information please visit his website: http://t.co/9eM6UaRgYS,Thu Dec 23 21:22:47 +0000 2010,96,16986,1849,1
229592356,KellyAyotte,Kelly Ayotte,,,Wed Dec 22 20:20:15 +0000 2010,1493,35678,5640,14
225921757,SenatorLankford,Sen. James Lankford,"Oklahoma and Washington, DC",Serving the State of Oklahoma in the United States Senate,Sun Dec 12 20:33:07 +0000 2010,482,12148,2418,1
224285242,SenBennetCO,Michael F. Bennet,Colorado,U.S. Senator for Colorado,Wed Dec 08 16:29:29 +0000 2010,84,20395,947,13
221162525,SenToomey,Senator Pat Toomey,,Official Twitter account for Pat Toomey. Husband. Father. U.S. Senator for Pennsylvania.,Mon Nov 29 22:32:09 +0000 2010,875,32965,2762,55
217543151,SenatorTimScott,Tim Scott,South Carolina,Official account of U.S. Senator Tim Scott. Honored to represent the great state of South Carolina. RTs and follows dont equal endorsements. #OpportunityAgenda,Fri Nov 19 20:34:30 +0000 2010,2786,82469,2661,223
216881337,SenRandPaul,Senator Rand Paul,,"I fight for the Constitution, individual liberty and the freedoms that make this country great.",Wed Nov 17 23:52:35 +0000 2010,357,540228,3260,202
216503958,SenDonnelly,Senator Joe Donnelly,,U.S. Senator Joe Donnelly's communications staff,Tue Nov 16 22:24:01 +0000 2010,283,14463,1929,3
212262370,SenDanCoats,Senator Dan Coats,,U.S. Senator serving Indiana,Fri Nov 05 15:56:49 +0000 2010,619,19294,2975,6
211588974,SenatorKirk,Mark Kirk,"Highland Park, Illinois",I serve the people of the state of Illinois in the United States Senate. Please do not hesitate to contact me if you have any questions or need assistance.,Wed Nov 03 17:51:13 +0000 2010,1852,32429,3844,0
202206694,SenJohnBarrasso,Sen. John Barrasso,,U.S. Senator for the great state of Wyoming and @Senate_RPC Chairman.,Wed Oct 13 14:49:08 +0000 2010,456,18534,2285,0
193794406,SenCapito,Shelley Moore Capito,,Proudly serving West Virginia in the United States Senate.,Wed Sep 22 18:06:14 +0000 2010,935,11430,1372,28
172858784,timkaine,Senator Tim Kaine,,U.S. Senator from the Commonwealth of Virginia,Fri Jul 30 20:00:32 +0000 2010,662,36242,4764,67
171968009,FrankenCommTeam,FrankenCommTeam,,"A twitter feed for bloggers and journalists. Press releases, news, and advisories from Senator Franken's press office. RT≠Endorsements.",Wed Jul 28 16:11:35 +0000 2010,425,492,436,0
171598736,SenBobCasey,Senator Bob Casey,,Official twitter profile for the press office of Senator Bob Casey.,Tue Jul 27 18:38:20 +0000 2010,412,22643,1793,46
150078976,ChrisMurphyCT,Chris Murphy,,"U.S. Senator, Connecticut",Mon May 31 01:22:43 +0000 2010,125,25379,5841,135
132278386,SenatorBarb,Barbara Mikulski,"Baltimore, MD/Washington DC",U.S. Senator for Maryland,Mon Apr 12 20:06:38 +0000 2010,35,33973,3661,10
117501995,CantwellPress,Sen. Maria Cantwell,"Washington, D.C.",Official Twitter account of the Office of U.S. Senator Maria Cantwell -- Tweets come from Cantwell staff,Thu Feb 25 19:21:52 +0000 2010,1,12606,1051,0
109287731,SenatorShaheen,Sen. Jeanne Shaheen,"Washington, DC",I am currently serving in the United States Senate and am proud to serve the people of New Hampshire. http://t.co/6CyyCKZ22b,Thu Jan 28 15:22:44 +0000 2010,5614,20880,3095,11
