id,screen_name,name,location,description,created_at,friends,followers,statuses,favorites
135575282,morningmoneyben,Ben White,NYC,"POLITICO Chief Economic Correspondent and Morning Money columnist, CNBC contributor, dad. ex NYT, FT, WP. RTs mean I love you.",Wed Apr 21 17:54:22 +0000 2010,2480,29900,68845,34549
12612432,jpodhoretz,John Podhoretz,,"Editor of Commentary. Columnist, New York Post. Contributing Editor of the Weekly Standard. NO I DON'T HAVE A BLUE VERIFIED CHECK",Wed Jan 23 20:54:32 +0000 2008,1012,38770,81065,98
13524182,daveweigel,daveweigel,"Washington, D.C.","Roving reporter for @bpolitics. Finishing a book about progressive rock (W.W. Norton, 2015). daveweigel@gmail.com, 302-507-6806.",Fri Feb 15 17:58:23 +0000 2008,5766,152625,117386,441
60783724,ianbremmer,ian bremmer,,"political scientist, author, prof at nyu, columnist at time, ostensible intellectual entrepreneur, president of @eurasiagroup",Tue Jul 28 02:23:28 +0000 2009,994,97978,13410,14
15446531,mattyglesias,Matt Yglesias,"Washington, DC",Executive Editor at Vox.,Tue Jul 15 21:44:28 +0000 2008,505,131298,86667,189
8315692,GlennF,Glenn Fleishman,"Seattle, WA","Macworld columnist (Mac 911, Private I) & co-host of Macworld podcast. Regular contributor to the Economist, Fast Company, Boing Boing, more. Jeopardy! champion",Mon Aug 20 21:39:39 +0000 2007,2107,16584,319090,66757
14096763,TheStalwart,Joseph Weisenthal,New York City,Doing something new at Bloomberg.,Fri Mar 07 19:37:09 +0000 2008,3440,87079,206497,25943
15463671,samsteinhp,Sam Stein,"Washington, D.C.","Political Editor and White House Correspondent -- Huffington Post --
RT's aren't endorsements... but you know that by now.",Thu Jul 17 03:38:29 +0000 2008,856,143459,32558,47
22522178,ReformedBroker,Downtown Josh Brown,New York City / Long Island,"Chairman of the Twitter Federal Reserve

Author of 'Clash of the Financial Pundits', star of CNBC's The Halftime Report, CEO of Ritholtz Wealth Management",Mon Mar 02 19:19:35 +0000 2009,3057,99362,85512,71767
15335534,jimgeraghty,jimgeraghty,"Authenticity Woods, Virginia.","NR contributing editor by day, dad by day and night.",Sun Jul 06 20:49:38 +0000 2008,666,50602,43515,1383
211785295,KailiJoy,Kaili Joy Gray,,"Executive Editor, Wonkette. I rant. I snark. I make feminism fun. RTs mean I agree or I'm mocking you—one or the other. kaili at wonkette dot com",Thu Nov 04 07:33:51 +0000 2010,1020,9303,24137,1627
24712487,KagroX,David Waldman,,"Contributing Editor, Daily Kos & host of Daily Kos Radio's Kagro in the Morning, M-F, 9-11 ET on http://t.co/gCz4Rs4OgF. Podcasts: http://t.co/SUKW4foCNK",Mon Mar 16 15:49:09 +0000 2009,886,28319,95479,85
326255267,BuzzFeedAndrew,Andrew Kaczynski,"Brooklyn, NY",Reporter for @BuzzFeed Politics. I also like cats. Email me at Andrew@BuzzFeed.com. Gchat Andrew.Kaczynski@BuzzFeed.com,Wed Jun 29 16:44:57 +0000 2011,3475,117545,82627,8985
18856867,zerohedge,zerohedge,,,Sun Jan 11 04:08:58 +0000 2009,510,240914,184239,1
16725276,Talkmaster,Neal Boortz,"Naples, Florida",Retired after 42 years of talk radio. Author of The FairTax Book.  Member of U.S and Ga. Radio Hall of Fame. Podcasts at http://t.co/4H4HLByiNU,Mon Oct 13 19:02:21 +0000 2008,100,165894,52011,2933
19568591,ananavarro,Ana Navarro,"Coral Gables, Fl","Proud American. McCain Ntl Hispanic Chair. @ABC, @CNN political contributor. Advise http://t.co/LaJqbF3qfS Can often find me & my drink, poolside @BiltmoreHotel",Tue Jan 27 00:34:59 +0000 2009,423,16514,9929,89
57917441,lizzwinstead,Lizz Winstead,The Lizzantine Empire,Writer/Producer/Comic. Co creator of The Daily Show/ author: Lizz Free Or Die. I expose anti choice crackpots at http://t.co/Jf68CJpnnM. avi Photo Booth age 8.,Sat Jul 18 12:04:09 +0000 2009,2485,100371,69005,1676
28104195,StirringTrouble,Alexander Nekrassov,Moscow,Former presidential and government adviser. Comment on world affairs on the box sometimes.,Wed Apr 01 13:24:13 +0000 2009,500,82069,45188,30
75797367,dandrezner,Daniel Drezner,"Really, where am I not?",Professor @FletcherSchool.  Writer of Spoiler Alerts @washingtonpost. Author of The System Worked http://t.co/25PEMgHcK8. Shaker of hands with Mel Brooks.,Sun Sep 20 14:34:27 +0000 2009,841,32181,62584,4226
397765811,DavidKaib,David Kaib,Northeast DC,Left politics. Poking liberals. Dismantling silos. Reading groups. DC via #philly #DCJacobin #1u http://t.co/GxkE49UlpE Rhymes with vibe,Tue Oct 25 03:54:35 +0000 2011,1484,3097,61820,15480
21268897,joshtpm,Josh Marshall,New York City,Editor and Publisher of TPM.,Thu Feb 19 02:41:22 +0000 2009,496,94921,75952,73
6332292,ethanklapper,Ethan Klapper,New York City,"Global Social Media Editor, @HuffingtonPost.  @AmericanU alumnus. Native New Yorker. RTs aren't endorsements.",Sat May 26 03:18:34 +0000 2007,4863,13983,62703,3846
15445129,jeffpearlman,jeffpearlman ,California,"New York Times best-selling author of The Bad Guys Won, Love Me, Hate Me, Boys Will Be Boys, The Rocket That Fell to Earth, Sweetness and Showtime.",Tue Jul 15 19:57:18 +0000 2008,48617,48290,41474,27
21785215,Green_Footballs,Charles Johnson,Heart of the sun,"Scientist of love, ex-wingnut. Guitarist w/ George Duke, Stanley Clarke, Al Jarreau, & others. Nerd. Started Little Green Footballs, wrote the code.",Tue Feb 24 19:20:41 +0000 2009,3393,11824,72404,3883
31127446,markknoller,Mark Knoller,"Washington, D.C.",CBS News White House Correspondent,Tue Apr 14 14:01:03 +0000 2009,1294,165387,87656,11
14268812,ron_fournier,Ron Fournier,,Political affiliation: Disruption. Imported from Detroit. DC trouble maker. Columns: http://t.co/zearFTUcmP,Mon Mar 31 19:35:07 +0000 2008,1806,34400,87327,24291
16900353,joshuafoust,Joshua Foust,"Washington, DC","Eurasia & MENA, comms, space nerd, writing, food, pugs (not nec. in that order). Opinions are mine alone, etc.",Wed Oct 22 04:20:41 +0000 2008,653,18693,43323,7073
104952689,LaMonicaBuzz,Paul R. La Monica,"New York, NY",All stocks and economy. All the time. Except when I mix in references to sports and pop culture too. @CNNMoney Digital Correspondent,Thu Jan 14 22:25:06 +0000 2010,1137,37773,66711,729
14931637,MattBinder,Matt Binder,"New York, New York",internet comedian // contributor + producer at @MajorityFM // finder of dumb tweets: http://t.co/x67hsgK9y7 // email: matt@xmattx.com,Wed May 28 07:59:20 +0000 2008,638,23386,33064,41281
106111147,rilaws,Richard Lawson,"New York, NY",Critic/Columnist for http://t.co/T6L7q3Jkgm | richard_lawson@condenast.com,Mon Jan 18 14:51:36 +0000 2010,775,31935,56159,0
17995040,benshapiro,Ben Shapiro,California,"Columnist, http://t.co/K9T89KVW7b, http://t.co/bAy1cFrE, HLS, host on KTTH & KRLA, NYT bestselling author of People vs. Barack Obama http://t.co/pSukb6ehn8",Tue Dec 09 16:40:22 +0000 2008,195,88822,26767,5
14412533,TheFix,Chris Cillizza,"Washington, D.C.","WaPo's Chris Cillizza. Editor of The Fix. MSNBC political contributor. Mark it 8, Dude.",Wed Apr 16 20:34:24 +0000 2008,2041,246054,56880,81
22106552,randomsubu,r subramanian,"Pittsburgh, PA","Politics & miscellany. Personal feed, not endorsed by my employer.",Fri Feb 27 04:24:04 +0000 2009,1624,2253,139313,55702
17147223,eliasisquith,Elias Isquith,NYC,"Staff writer @Salon / eisquith[at]salon[dot]com

Views are mine alone

Newsletter: https://t.co/qSoqXE6Dsq",Tue Nov 04 02:49:56 +0000 2008,699,6746,1571,12606
23798694,CharlieDaniels,Charlie Daniels,"Mt. Juliet, TN",Get the new CDB album Off the Grid-Doin' It Dylan on iTunes: http://t.co/M8BcfuDd7U,Wed Mar 11 17:52:26 +0000 2009,349,209561,39879,309
259395895,JohnJHarwood,John Harwood,"Washington, DC","Covering Washington and national politics for CNBC and the New York Times; loving Duke basketball, Washington Redskins, dance music, and being a Dad.",Tue Mar 01 20:49:40 +0000 2011,839,51931,23910,108
